country,country_code,year,indicator,value,source
Afghanistan,AFG,2000,Access to electricity (% of population),0.959755897521973,Jobs/Development
Afghanistan,AFG,2001,Access to electricity (% of population),0.77653694152832,Jobs/Development
Afghanistan,AFG,2002,Access to electricity (% of population),6.26739358901977,Jobs/Development
Afghanistan,AFG,2003,Access to electricity (% of population),11.7519664764404,Jobs/Development
Afghanistan,AFG,2004,Access to electricity (% of population),17.2363185882568,Jobs/Development
Afghanistan,AFG,2005,Access to electricity (% of population),23.0,Jobs/Development
Afghanistan,AFG,2006,Access to electricity (% of population),28.2286128997803,Jobs/Development
Afghanistan,AFG,2007,Access to electricity (% of population),33.7486801147461,Jobs/Development
Afghanistan,AFG,2008,Access to electricity (% of population),42.4,Jobs/Development
Afghanistan,AFG,2009,Access to electricity (% of population),44.8548851013184,Jobs/Development
Afghanistan,AFG,2010,Access to electricity (% of population),42.7,Jobs/Development
Afghanistan,AFG,2011,Access to electricity (% of population),43.2220189082037,Jobs/Development
Afghanistan,AFG,2012,Access to electricity (% of population),69.1,Jobs/Development
Afghanistan,AFG,2013,Access to electricity (% of population),67.2595520019531,Jobs/Development
Afghanistan,AFG,2014,Access to electricity (% of population),89.5,Jobs/Development
Afghanistan,AFG,2015,Access to electricity (% of population),71.5,Jobs/Development
Afghanistan,AFG,2016,Access to electricity (% of population),84.1371383666992,Jobs/Development
Afghanistan,AFG,2000,Age dependency ratio (% of working-age population),103.326360073965,Jobs/Development
Afghanistan,AFG,2001,Age dependency ratio (% of working-age population),102.92777291639,Jobs/Development
Afghanistan,AFG,2002,Age dependency ratio (% of working-age population),102.153958897486,Jobs/Development
Afghanistan,AFG,2003,Age dependency ratio (% of working-age population),101.200485082543,Jobs/Development
Afghanistan,AFG,2004,Age dependency ratio (% of working-age population),100.159030259816,Jobs/Development
Afghanistan,AFG,2005,Age dependency ratio (% of working-age population),99.0118309442354,Jobs/Development
Afghanistan,AFG,2006,Age dependency ratio (% of working-age population),99.6320290466377,Jobs/Development
Afghanistan,AFG,2007,Age dependency ratio (% of working-age population),100.231023134586,Jobs/Development
Afghanistan,AFG,2008,Age dependency ratio (% of working-age population),100.656496083108,Jobs/Development
Afghanistan,AFG,2009,Age dependency ratio (% of working-age population),100.740812582094,Jobs/Development
Afghanistan,AFG,2010,Age dependency ratio (% of working-age population),100.406411520766,Jobs/Development
Afghanistan,AFG,2011,Age dependency ratio (% of working-age population),98.7307589652135,Jobs/Development
Afghanistan,AFG,2012,Age dependency ratio (% of working-age population),96.5285898367748,Jobs/Development
Afghanistan,AFG,2013,Age dependency ratio (% of working-age population),94.0017341230592,Jobs/Development
Afghanistan,AFG,2014,Age dependency ratio (% of working-age population),91.3762048564238,Jobs/Development
Afghanistan,AFG,2015,Age dependency ratio (% of working-age population),88.7687273393836,Jobs/Development
Afghanistan,AFG,2016,Age dependency ratio (% of working-age population),86.5709321507136,Jobs/Development
Afghanistan,AFG,2002,"Agriculture, forestry, and fishing, value added (% of GDP)",38.6278918638443,World Bank Indicators
Afghanistan,AFG,2003,"Agriculture, forestry, and fishing, value added (% of GDP)",37.4188554431481,World Bank Indicators
Afghanistan,AFG,2004,"Agriculture, forestry, and fishing, value added (% of GDP)",29.7210671376957,World Bank Indicators
Afghanistan,AFG,2005,"Agriculture, forestry, and fishing, value added (% of GDP)",31.114854912062,World Bank Indicators
Afghanistan,AFG,2006,"Agriculture, forestry, and fishing, value added (% of GDP)",28.6359685844686,World Bank Indicators
Afghanistan,AFG,2007,"Agriculture, forestry, and fishing, value added (% of GDP)",30.1050113574013,World Bank Indicators
Afghanistan,AFG,2008,"Agriculture, forestry, and fishing, value added (% of GDP)",24.8922700059742,World Bank Indicators
Afghanistan,AFG,2009,"Agriculture, forestry, and fishing, value added (% of GDP)",29.2975010547259,World Bank Indicators
Afghanistan,AFG,2010,"Agriculture, forestry, and fishing, value added (% of GDP)",26.2100685374552,World Bank Indicators
Afghanistan,AFG,2011,"Agriculture, forestry, and fishing, value added (% of GDP)",23.7436639877543,World Bank Indicators
Afghanistan,AFG,2012,"Agriculture, forestry, and fishing, value added (% of GDP)",24.390873626371,World Bank Indicators
Afghanistan,AFG,2013,"Agriculture, forestry, and fishing, value added (% of GDP)",22.8106627361766,World Bank Indicators
Afghanistan,AFG,2014,"Agriculture, forestry, and fishing, value added (% of GDP)",22.1370413719574,World Bank Indicators
Afghanistan,AFG,2015,"Agriculture, forestry, and fishing, value added (% of GDP)",20.6343227166798,World Bank Indicators
Afghanistan,AFG,2016,"Agriculture, forestry, and fishing, value added (% of GDP)",25.7403140364582,World Bank Indicators
Afghanistan,AFG,2017,"Agriculture, forestry, and fishing, value added (% of GDP)",26.4201990834448,World Bank Indicators
Afghanistan,AFG,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",22.0428967527575,World Bank Indicators
Afghanistan,AFG,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",25.7739707394105,World Bank Indicators
Afghanistan,AFG,2020,"Agriculture, forestry, and fishing, value added (% of GDP)",29.9755825210461,World Bank Indicators
Afghanistan,AFG,2021,"Agriculture, forestry, and fishing, value added (% of GDP)",33.5976188725451,World Bank Indicators
Afghanistan,AFG,2022,"Agriculture, forestry, and fishing, value added (% of GDP)",33.7014323213923,World Bank Indicators
Afghanistan,AFG,2023,"Agriculture, forestry, and fishing, value added (% of GDP)",34.7432471445174,World Bank Indicators
Afghanistan,AFG,2002,"Agriculture, value added (% of GDP)",37.9388206159123,Jobs/Development
Afghanistan,AFG,2003,"Agriculture, value added (% of GDP)",36.8630576799203,Jobs/Development
Afghanistan,AFG,2004,"Agriculture, value added (% of GDP)",29.3911956273162,Jobs/Development
Afghanistan,AFG,2005,"Agriculture, value added (% of GDP)",30.7879670650336,Jobs/Development
Afghanistan,AFG,2006,"Agriculture, value added (% of GDP)",28.2897383137567,Jobs/Development
Afghanistan,AFG,2007,"Agriculture, value added (% of GDP)",29.7989655280121,Jobs/Development
Afghanistan,AFG,2008,"Agriculture, value added (% of GDP)",24.6938230129889,Jobs/Development
Afghanistan,AFG,2009,"Agriculture, value added (% of GDP)",29.1359284351699,Jobs/Development
Afghanistan,AFG,2010,"Agriculture, value added (% of GDP)",26.0782527819623,Jobs/Development
Afghanistan,AFG,2011,"Agriculture, value added (% of GDP)",23.5779686892153,Jobs/Development
Afghanistan,AFG,2012,"Agriculture, value added (% of GDP)",23.6436386470918,Jobs/Development
Afghanistan,AFG,2013,"Agriculture, value added (% of GDP)",22.587453161034,Jobs/Development
Afghanistan,AFG,2014,"Agriculture, value added (% of GDP)",22.009298022763,Jobs/Development
Afghanistan,AFG,2015,"Agriculture, value added (% of GDP)",20.5469658803948,Jobs/Development
Afghanistan,AFG,2016,"Agriculture, value added (% of GDP)",20.9658976104561,Jobs/Development
Afghanistan,AFG,2003,"Agriculture, value added (annual % growth)",2.79922332379998,Jobs/Development
Afghanistan,AFG,2004,"Agriculture, value added (annual % growth)",-22.2374972096684,Jobs/Development
Afghanistan,AFG,2005,"Agriculture, value added (annual % growth)",17.6995562384091,Jobs/Development
Afghanistan,AFG,2006,"Agriculture, value added (annual % growth)",-5.10828004564108,Jobs/Development
Afghanistan,AFG,2007,"Agriculture, value added (annual % growth)",14.6947633410373,Jobs/Development
Afghanistan,AFG,2008,"Agriculture, value added (annual % growth)",-14.9167175639132,Jobs/Development
Afghanistan,AFG,2009,"Agriculture, value added (annual % growth)",44.5654473278869,Jobs/Development
Afghanistan,AFG,2010,"Agriculture, value added (annual % growth)",-6.37380492600464,Jobs/Development
Afghanistan,AFG,2011,"Agriculture, value added (annual % growth)",-7.59086467916443,Jobs/Development
Afghanistan,AFG,2012,"Agriculture, value added (annual % growth)",18.2247894194574,Jobs/Development
