Country,Country Code,Year,Series Name,Series Code,Value
Afghanistan,AFG,2000,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,154.31
Afghanistan,AFG,2001,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,152.471
Afghanistan,AFG,2002,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,150.161
Afghanistan,AFG,2003,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,143.75
Afghanistan,AFG,2004,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,136.93
Afghanistan,AFG,2005,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,130.838
Afghanistan,AFG,2006,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,121.635
Afghanistan,AFG,2007,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,117.754
Afghanistan,AFG,2008,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,118.979
Afghanistan,AFG,2009,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,109.655
Afghanistan,AFG,2010,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,105.648
Afghanistan,AFG,2011,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,101.659
Afghanistan,AFG,2012,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,95.245
Afghanistan,AFG,2013,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,89.337
Afghanistan,AFG,2014,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,84.069
Afghanistan,AFG,2015,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,81.043
Afghanistan,AFG,2016,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,78.13
Afghanistan,AFG,2017,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,75.3
Afghanistan,AFG,2018,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,73.021
Afghanistan,AFG,2019,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,70.967
Afghanistan,AFG,2020,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,68.877
Afghanistan,AFG,2021,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,66.599
Afghanistan,AFG,2022,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,65.339
Afghanistan,AFG,2023,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,64.068
Afghanistan,AFG,2002,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,38.6278918638443
Afghanistan,AFG,2003,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,37.4188554431481
Afghanistan,AFG,2004,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,29.7210671376957
Afghanistan,AFG,2005,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,31.114854912062
Afghanistan,AFG,2006,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,28.6359685844686
Afghanistan,AFG,2007,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,30.1050113574013
Afghanistan,AFG,2008,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,24.8922700059742
Afghanistan,AFG,2009,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,29.2975010547259
Afghanistan,AFG,2010,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,26.2100685374552
