Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.0219771377742291,0.179634585976601,0.959755897521973,0.77653694152832,6.26739358901977,11.7519664764404,17.2363185882568,23,28.2286128997803,33.7486801147461,42.4,44.8548851013184,42.7,43.2220189082037,69.1,67.2595520019531,89.5,71.5,84.1371383666992
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,162.8354,163.3822,163.929,164.1888,164.4486,164.7084,164.9682,165.228,161.469,157.71,153.951,150.192,146.433,140.6256,134.8182,129.0108,123.2034,117.396,111.1414,104.8868,98.6322,92.3776,86.123,81.7908,77.4586,73.1264,68.7942
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,101.018259850238,100.96564733016,100.870231727519,100.902317661547,100.887270633256,100.510118469483,101.294946055585,102.0432616212,102.595062024335,102.975878585677,103.326360073965,102.92777291639,102.153958897486,101.200485082543,100.159030259816,99.0118309442354,99.6320290466377,100.231023134586,100.656496083108,100.740812582094,100.406411520766,98.7307589652135,96.5285898367748,94.0017341230592,91.3762048564238,88.7687273393836,86.5709321507136
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,37.9388206159123,36.8630576799203,29.3911956273162,30.7879670650336,28.2897383137567,29.7989655280121,24.6938230129889,29.1359284351699,26.0782527819623,23.5779686892153,23.6436386470918,22.587453161034,22.009298022763,20.5469658803948,20.9658976104561
Afghanistan,AFG,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,2.79922332379998,-22.2374972096684,17.6995562384091,-5.10828004564108,14.6947633410373,-14.9167175639132,44.5654473278869,-6.37380492600464,-7.59086467916443,18.2247894194574,0.00517080272992132,-0.100457250332653,-5.65736076451711,5.97175068925613
Afghanistan,AFG,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,3524250083.91464,3622901714.25262,2817259046.63666,3315901395.97778,3146515866.63392,3608888926.72396,3070561158.32921,4438970474.01497,4156039155.27831,3840559846.98805,4540493791.62985,4540728571.60678,4536167080.53868,4279539743.91134,4535103188.06536
Afghanistan,AFG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,5300,5300,5300,5100,7000,7300,7500,4600,1900,3400,3409,..,..,..,..,..,..,..,..,..,21677,25021,17775,21696,25920,23532,22770
Afghanistan,AFG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0158998816253813,0.0608522587027287,0.118134127568762,0.20881807028053,0.30244953172372,0.452438933768698,0.532063581331937,0.620062869261023,0.642222417403469,0.712434094736566,0.758811362173521,0.929836662967983,1.07421538203442
Afghanistan,AFG,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.37976801136197,3.98351915777259,3.80232587604102,3.66597788548973,4.13750263311191,3.76912673858008,3.0250349722766,2.95869751045318,3.05195383587665
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.1318927309003,71.1409742918197,76.3021776776999,82.7748069188245,108.066600010077,99.1153588128686,100,110.201660141582,118.156300027034,127.200357275341,133.057086584945,132.117655626068,137.904563672559
